time,id,x,y,z,rad,timeLife,mass,temp,charge
16.5,8,5.47756,1.5207,5.73978,0.474101,2,0.224772,532.824,-0.42072
16.5,9,5.00642,1.0126,5.0137,0.482384,1,0.232694,561.24,-0.17304
17,0,3.38843,7.68475,5.74979,0.571455,14,0.326561,933.075,0.397251
17,1,1.63213,5.47251,6.4316,0.048464,8,0.00234876,0.569152,0.0566974
17,2,4.32172,4.96563,5.94989,0.723298,7.5,0.52316,1892,-0.909703
17,3,4.82317,6.05831,4.35626,0.480182,4.5,0.230574,553.588,-0.369609
17,4,4.6485,2.48093,7.05375,0.35498,4,0.126011,223.656,0.81381
17,5,5.86544,2.2507,4.19043,0.127635,3.5,0.0162907,10.3963,0.737633
17,6,5.35518,1.20962,7.94711,0.240326,3,0.0577568,69.4024,-0.442592
17,7,5.71633,1.78104,6.10968,0.474101,2.5,0.224772,532.824,-0.42072
17,8,5.01507,1.19263,5.14127,0.601302,1.5,0.361564,1087.04,-1.10785
17.5,0,3.32821,7.93877,5.77925,0.571455,14.5,0.326561,933.075,0.397251
17.5,1,1.4076,5.77068,6.52704,0.048464,8.5,0.00234876,0.569152,0.0566974
17.5,2,4.2579,5.28636,6.02609,0.723298,8,0.52316,1892,-0.909703
17.5,3,4.80107,6.6906,4.2758,0.480182,5,0.230574,553.588,-0.369609
17.5,4,4.59829,2.6925,7.34714,0.35498,4.5,0.126011,223.656,0.81381
17.5,5,6.00967,2.45915,4.0555,0.127635,4,0.0162907,10.3963,0.737633
17.5,6,5.42622,1.25154,8.53653,0.240326,3.5,0.0577568,69.4024,-0.442592
17.5,7,5.95511,2.04139,6.47957,0.474101,3,0.224772,532.824,-0.42072
17.5,8,5.03953,1.36845,5.14977,0.70665,2,0.499354,1764.34,-1.65516
18,0,3.26798,8.1928,5.80871,0.571455,15,0.326561,933.075,0.397251
18,1,1.18308,6.06884,6.62248,0.048464,9,0.00234876,0.569152,0.0566974
18,2,4.19408,5.60709,6.10229,0.723298,8.5,0.52316,1892,-0.909703
18,3,4.77896,7.32289,4.19533,0.480182,5.5,0.230574,553.588,-0.369609
18,4,4.54808,2.90406,7.64054,0.35498,5,0.126011,223.656,0.81381
18,5,6.15391,2.6676,3.92057,0.127635,4.5,0.0162907,10.3963,0.737633
18,6,5.49726,1.29346,9.12596,0.240326,4,0.0577568,69.4024,-0.442592
